latitude,longitude,blk_no,road_name,postal_code,address,cbd_dist,min_dist_mrt,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,remaining_lease,lease_remain_years
1.37509746867904,103.83761896123,174.0,ANG MO KIO AVENUE 4,560174.0,174 ANG MO KIO AVE 4,10296.855747450894,1096.9478967971863,2021-04,ANG MO KIO,2 ROOM,174,ANG MO KIO AVE 4,04 TO 06,45.0,Improved,1986,208500.0,63 years 09 months,62
1.37509746867904,103.83761896123,174.0,ANG MO KIO AVENUE 4,560174.0,174 ANG MO KIO AVE 4,10296.855747450894,1096.9478967971863,2021-07,ANG MO KIO,2 ROOM,174,ANG MO KIO AVE 4,04 TO 06,45.0,Improved,1986,235000.0,63 years 06 months,62
1.37509746867904,103.83761896123,174.0,ANG MO KIO AVENUE 4,560174.0,174 ANG MO KIO AVE 4,10296.855747450894,1096.9478967971863,2021-10,ANG MO KIO,3 ROOM,174,ANG MO KIO AVE 4,04 TO 06,61.0,Improved,1986,280000.0,63 years 04 months,62
1.37509746867904,103.83761896123,174.0,ANG MO KIO AVENUE 4,560174.0,174 ANG MO KIO AVE 4,10296.855747450894,1096.9478967971863,2021-11,ANG MO KIO,3 ROOM,174,ANG MO KIO AVE 4,01 TO 03,60.0,Improved,1986,308800.0,63 years 03 months,62
1.37509746867904,103.83761896123,174.0,ANG MO KIO AVENUE 4,560174.0,174 ANG MO KIO AVE 4,10296.855747450894,1096.9478967971863,2022-01,ANG MO KIO,3 ROOM,174,ANG MO KIO AVE 4,07 TO 09,60.0,Improved,1986,335000.0,63 years,62
1.37509746867904,103.83761896123,174.0,ANG MO KIO AVENUE 4,560174.0,174 ANG MO KIO AVE 4,10296.855747450894,1096.9478967971863,2022-05,ANG MO KIO,3 ROOM,174,ANG MO KIO AVE 4,07 TO 09,60.0,Improved,1986,345000.0,62 years 09 months,62
1.37509746867904,103.83761896123,174.0,ANG MO KIO AVENUE 4,560174.0,174 ANG MO KIO AVE 4,10296.855747450894,1096.9478967971863,2023-05,ANG MO KIO,3 ROOM,174,ANG MO KIO AVE 4,07 TO 09,60.0,Improved,1986,345000.0,61 years 09 months,62
1.37509746867904,103.83761896123,174.0,ANG MO KIO AVENUE 4,560174.0,174 ANG MO KIO AVE 4,10296.855747450894,1096.9478967971863,2023-11,ANG MO KIO,3 ROOM,174,ANG MO KIO AVE 4,10 TO 12,60.0,Improved,1986,380000.0,61 years 02 months,62
1.37392239168826,103.855621371068,541.0,ANG MO KIO AVENUE 10,560541.0,541 ANG MO KIO AVE 10,10065.227933842432,806.1764989699593,2015-01,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1981,275000.0,65,57
1.37392239168826,103.855621371068,541.0,ANG MO KIO AVENUE 10,560541.0,541 ANG MO KIO AVE 10,10065.227933842432,806.1764989699593,2015-02,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1981,300000.0,64,57
